statement_idx,report,page_num,sent_num,statement,confidence,score,split,few_shots_3,prediction,correct
4190,AR6_WGII,635,2,"There is high confidence that water-related adaptation is occurring in the agricultural sector (Acevedo et al., 2020; Ricciardi et al., 2020), and water-related adaptation in the agricultural sector makes up the majority of documented local, regional and global evidence of implemented adaptation",high,2,test,"[{'input': 'In sum, water-related adaptation in the agricultural sector is widely documented, with irrigation, agricultural water management, crop diversification and improved agronomic practices among the most common adaptation measures adopted', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Evidence suggests that adaptation failure in the water sector is due to policy and regulatory failures (Keohane and Victor, 2016; Oberlack and Eisenack, 2018; Javeline et al., 2019), reflecting political myopia (Muller, 2018; Empinotti et al., 2019; Pralle, 2019)', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'In summary, although water-related adaptation is underway in the urban, peri-urban and municipal sectors of some nations, governance, technical and economic barriers remain in implementing locally informed strategies, particularly in developing countries (high confidence).4.6.6 Adaptation for Communities Dependent on Freshwater Ecosystems AR5 concluded that some adaptation responses in the urban and agricultural sectors could negatively impact freshwater ecosystems', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}]",high,True
4239,AR6_WGII,661,12,Water-related impacts that occurred despite implemented adaptation have been documented across all world regions,high,2,test,"[{'input': 'Water-related losses and damages that manifest despite or beyond implemented adaptation have been observed across world regions, primarily for exposed and vulnerable communities', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Evidence suggests that adaptation failure in the water sector is due to policy and regulatory failures (Keohane and Victor, 2016; Oberlack and Eisenack, 2018; Javeline et al., 2019), reflecting political myopia (Muller, 2018; Empinotti et al., 2019; Pralle, 2019)', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'In the water sector, a lack of systematic analysis and evaluation of adaptation measures predominates, although important progress has been made since AR5 in terms of understanding the interlinkages among climate change, human vulnerabilities, governance, policies and adaptation success', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,True
4253,AR6_WGII,667,2,"Water-related technologies can also have adverse distributional outcomes when gains from technology adoption accrue disproportionately to a small section of the population; for example, only rich and male farmers can adopt high-cost technologies like solar irrigation pumps (Gupta, 2019)",medium,1,test,"[{'input': 'Increased irrigation efficiency has reduced water scarcity, particularly in SEU (Section 13.5; De Roo et al., 2020), and occur at farm level in WCE and NEU (Papadaskalopoulou et al., 2015b; van Duinen et al., 2015; Rey et al., 2017) but come with increasing path dependency on supply and trade-offs which may not be sustainable in the long term', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Spatial differences in water availability are enhanced by strong population growth, economic development, mining activities and the high dependence of agriculture on irrigation', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Evidence suggests that adaptation failure in the water sector is due to policy and regulatory failures (Keohane and Victor, 2016; Oberlack and Eisenack, 2018; Javeline et al., 2019), reflecting political myopia (Muller, 2018; Empinotti et al., 2019; Pralle, 2019)', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",low,False
4254,AR6_WGII,667,14,"Such financing focuses on returns and scale (Cholibois, 2020), and as such, local needs, especially those of the poor, may not be adequately represented (Manuamorn et al., 2020; Williams, 2020)",medium,1,test,"[{'input': 'Barriers to the deployment of commercial finance from within the financial sector as well as macroeconomic considerations include: inadequate assessment of climate-related risks and investment opportunities; regional mismatch between available capital and investment needs; home bias factors; country indebtedness levels; economic vulnerability; and limited institutional capacities', 'label': 'high', 'score': 2, 'report': 'AR6_WGIII'}, {'input': 'Private sector financing for adaptation has been increasingly promoted as a response to realised adaptation finance needs', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Access to capital markets has been one of the major sources for subnational financing and is generally limited to rich cities, and much of this occurs through loans', 'label': 'high', 'score': 2, 'report': 'AR6_WGIII'}]",idk,False
4264,AR6_WGII,670,1,"Polycentric governance systems require cross- scale information sharing, coordination and democratic participation to work appropriately (Pahl-Wostl and Knieper, 2014; Carlisle and Gruby, 2017; Morrison et al., 2017; Biesbroek and Lesnikowski, 2018; Frey et al., 2021)",high,2,test,"[{'input': 'CRDPs are determined through engagement in different arenas, the degree to which the emergent pathways foster just and CRD depends on how contending societal interests, values and worldviews are reconciled through inclusive and participatory interactions between governance actors in these arenas of engagement {Section 18.4.3}', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'The importance of supportive governance arrangements is re- iterated widely across regional and sectoral chapters in this report, in multiple different contexts', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'Multi-level governance measures that support local governments can foster robust adaptation approaches and address risks and vulnerabilities across scales', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
4345,AR6_WGII,746,7,"Elevated CO2 reduces some important nutrients such as protein, iron, zinc and some grains, fruit or vegetables to varying degrees depending on crop species and cultivars (Mattos et al., 2014; Myers et al., 2014; Dong et al., 2018; Scheelbeek et al., 2018; Zhu et al., 2018a; Jin et al., 2019; Ujiie et al., 2019). TThis is of particular relevance for fruit and vegetable crops given their importance in human nutrition",high,2,test,"[{'input': 'Increased CO 2 concentrations promote crop growth and yield but reduce the density of important nutrients in some crops (high confidence) with projected increases in undernutrition and micronutrient deficiency, particularly in countries that currently have high levels of nutrient deficiency (high confidence) and regions with low access to diverse foods', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'The nutritional density, including protein content, micronutrients and B-vitamins, of wheat, rice, barley and other important food crops is negatively affected by higher CO 2 concentrations', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'Elevated CO 2 reduces some important nutrients such as protein, iron, zinc and some grains, fruit or vegetables to varying degrees depending on crop species and cultivars', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
4420,AR6_WGII,784,17,Observed climate impacts on inland aquaculture systems have generally been site and region specific,high,2,test,"[{'input': 'The effects of climate change on aquaculture are apparent but diverse, depending on the types and species of aquaculture', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Global marine aquaculture will decline under increasing temperature and acidification conditions by 2100, with potential short-term gains for finfish aquaculture in some temperate regions and overall negative impacts on bivalve aquaculture due to habitat reduction', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Technology-based adaptations (Section 3.6.3) have minimised aquaculture losses from ocean acidification, including early-warning systems to guide hatchery operations and culturing resilient shellfish Ecosystem service and chapter subsectionObserved impacts Projected impacts Observed impacts on marine organisms’ contribution to climate regulation not previously assessed.‘The effect of climate change on marine biota will alter their contribution to climate regulation, that is, the maintenance of the chemical composition and physical processes in the atmosphere and oceans', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
4439,AR6_WGII,790,13,Mangrove reforestation efforts in Asia may have some effectiveness in re-creating important nursery grounds for aquatic species,low,0,test,"[{'input': 'Adaptation measures in mangrove ecosystems are mainly focused on the application of EbA strategies', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'In Brazil, between 75–84% of mangroves are under some level of protection which has improved the forest structures, and multiple research programmes (e.g., Mangrove Dynamics and Management, MADAM, and ‘GEF-Mangle’) have been developed', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'In Colombia, research projects (e.g., Mangroves of Colombia Projects, MCP), the installation of a geographic information system for mangroves (e.g., SIGMA Sistema de Información para la Gestión de los Manglares en Colombia), surveillance monitoring plans (e.g., EGRETTA Herramientas para el Control y Vigilancia de los Manglares), and the establishment of protected areas have contributed to decrease loss of the mangrove forest', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
4446,AR6_WGII,791,12,Selective breeding of species in aquaculture systems can promote climate resilience,medium,1,test,"[{'input': 'Projections of climate on aquaculture production traits are not well understood (Lhorente et al., 2019); therefore, genetic diversity needs to be maintained to ensure population fitness', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Climate-informed and standardised aquaculture governance, and increased coordination with fishery and coastal management, is needed for climate resilience', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Global marine aquaculture will decline under increasing temperature and acidification conditions by 2100, with potential short-term gains for finfish aquaculture in some temperate regions and overall negative impacts on bivalve aquaculture due to habitat reduction', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}]",medium,True
4456,AR6_WGII,793,12,Early-warning systems for HABs enable rapid decision making and risk mitigation,medium,1,test,"[{'input': 'Financial investments to develop early warning systems are cost-effective and reduce human suffering (Choularton and Krishnamurthy, 2019)', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Reliable climate services, monitoring and early warning systems are the most commonly used strategies for managing the key risks, complementing long-term investments in risk reduction', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Early warning systems, insurance and behaviour change can complement protect and accommodate measures to limit residual risk', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,False
4541,AR6_WGII,839,2,"Limited global land and biomass resources accompanied by growing demands for food, feed, fibre and fuels, together with prospects for a paradigm shift towards phasing out fossil fuels, set the frame for potentially fierce competition for land and biomass to meet burgeoning demands even as climate change increasingly limits natural resource potentials",high,2,test,"[{'input': 'Limited global land and biomass resources accompanied by growing demands for food, feed, fibre, and fuels, together with prospects for a paradigm shift towards phasing out fossil fuels, set the frame for potentially fierce competition for land3 and biomass to meet burgeoning demands, even as climate change increasingly limits natural resource potentials', 'label': 'high', 'score': 2, 'report': 'AR6_WGIII'}, {'input': 'Yet, energy conservation and efficiency measures, and deployment of technologies and systems that do not rely on carbon-based energy and materials, are essential for mitigating biomass demand growth as countries pursue ambitious climate goals', 'label': 'high', 'score': 2, 'report': 'AR6_WGIII'}, {'input': 'Yet, energy conservation and efficiency measures, and deployment of technologies and systems that do not rely on carbon-based energy and materials, are essential for mitigating biomass demand growth as countries pursue ambitious climate goals', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
4580,AR6_WGII,936,8,Sea level increase and increases in tropical cyclone storm surge and rainfall intensity will increase the probability of coastal city flooding,high,2,test,"[{'input': 'Sea level increase and increases in tropical cyclone storm surge and rainfall intensity will increase the probability of coastal city flooding, with more than a billion people located in low-lying cities and settlements expected to be at risk from coastal-specific climate hazards by 2050', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'The probability of compound flooding (storm surge, extreme rainfall and/or river flow) has increased in some locations (medium confidence), and will continue to increase due to sea level rise and increases in heavy precipitation, including changes in precipitation intensity associated with tropical cyclones', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The probability of compound flooding (storm surge, extreme rainfall and/or river flow) has increased in some locations and will continue to increase due to both sea level rise and increases in heavy precipitation, including changes in precipitation intensity associated with tropical cyclones', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,True
4611,AR6_WGII,982,17,The integration of climate adaptation in local policies in cities and settlements has often been seen as maintaining business-as-usual and not always aligned with transformative efforts to address structural drivers of vulnerability,high,2,test,"[{'input': 'The diversity of potential migration and displacement outcomes reflects (a) the variable nature of climate hazards in terms of the rate of onset, intensity, duration, spatial extent and severity of damage caused to housing, infrastructure and livelihoods and (b) the wide range of social, economic, cultural, political and other non-climatic factors that influence exposure, vulnerability, adaptation options and the contexts in which migration decisions are made (Neumann and Hermans, 2015; McLeman, 2017; Barnett and McMichael, 2018; Cattaneo et al., 2019; Hoffmann et al., 2020)', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Governance capacity, financial support and the legacy of past urban infrastructure investment constrain how cities and settlements can adapt to key climate risks', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Building cities and settlements that are resilient to the impacts of climate change requires the simultaneous consideration of infrastructural, ecological, social, economic, institutional and political dimensions of resilience, including political will, leadership, commitment, community support, multi-level governance and policy continuity (Torabi et al., 2021).11.8.2 Challenges for Climate Resilient Development Pathways Implementing enablers can help drive adaptation ambition and action consistent with climate resilient development', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}]",medium,False
4636,AR6_WGII,1055,23,"Key transformations are needed to facilitate climate resilient development pathways (CRDPs) for health, well- being, migration and conflict avoidance",high,2,test,"[{'input': 'The literature presenting research findings on climate resilient development (CRD) and pathways and processes for successfully achieving CRD has expanded significantly in the several years since the AR5', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'Climate actions that support CRD are embedded in these dimensions of development; for example, social cohesion and equity, individual and collective agency, and democratising knowledge processes have been identified as steps to transform practices and governance systems for increased resilience (Ziervogel et al., 2016b; Nightingale et al., 2020; Colloff et al., 2021; Vogel and O’Brien, 2021)', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Building cities and settlements that are resilient to the impacts of climate change requires the simultaneous consideration of infrastructural, ecological, social, economic, institutional and political dimensions of resilience, including political will, leadership, commitment, community support, multi-level governance and policy continuity (Torabi et al., 2021).11.8.2 Challenges for Climate Resilient Development Pathways Implementing enablers can help drive adaptation ambition and action consistent with climate resilient development', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}]",medium,False
4696,AR6_WGII,1057,29,"Building climate-resilient health systems will require multi-sectoral, multi-system and collaborative efforts at all governance scales",very high,3,test,"[{'input': 'Building climate resilient health systems will require multi-sectoral, multi-system and collaborative efforts at all governance scales', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'Governance for climate resilient development involves diverse societal actors, including the most vulnerable, who can work collectively, drawing upon local and Indigenous knowledges and science, and are supported by strong political will and climate change leadership', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Integrated and inclusive system-oriented solutions based on equity and social and climate justice reduce risks and enable climate resilient development', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,False
4764,AR6_WGII,1089,9,Anxiety about the potential risks of climate change and awareness of climate change itself can affect mental health even in the absence of direct impacts,low,0,test,"[{'input': 'Mental health impacts are expected to arise from exposure to extreme weather events, displacement, migration, famine, malnutrition, degradation or destruction of health and social care systems, climate-related economic and social losses and anxiety and distress associated with worry about climate change', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'Mental health impacts are expected to arise from exposure to high temperatures, extreme weather events, displacement, malnutrition, conflict, climate-related economic and social losses, and anxiety and distress associated with worry about climate change', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'Distress sufficient to impair mental health has been caused by climate-related ecological grief associated with environmental change (e.g., solastalgia) or extreme weather and climate events (very high confidence), vicarious experience or anticipation of climate events (medium confidence) and climate-related loss of livelihoods and food insecurity', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}]",medium,False
4824,AR6_WGII,1110,13,"The most common drivers of observed climate- related migration and displacement are extreme storms (particularly tropical cyclones), floods and droughts",high,2,test,"[{'input': 'The diversity of potential migration and displacement outcomes reflects (a) the variable nature of climate hazards in terms of the rate of onset, intensity, duration, spatial extent and severity of damage caused to housing, infrastructure and livelihoods and (b) the wide range of social, economic, cultural, political and other non-climatic factors that influence exposure, vulnerability, adaptation options and the contexts in which migration decisions are made (Neumann and Hermans, 2015; McLeman, 2017; Barnett and McMichael, 2018; Cattaneo et al., 2019; Hoffmann et al., 2020)', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Climatic conditions, events and variability are important drivers of migration and displacement (high confidence) (Table MIGRATE.1 in Chapter 7), with migration responses to specific climate hazards being strongly influenced by economic, social, political and demographic processes', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'The diversity of potential migration and displacement outcomes reflects the scale and physical impacts of specific climate hazard events and the wide range of social, economic, cultural, political and other non-climatic factors that influence exposure, vulnerability, adaptation options and the contexts in which migration decisions are made', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,True
4882,AR6_WGII,1186,7,"Enabling and supportive environments for adaptation share common governance characteristics, including multiple actors and assets, multiple centres of power at different levels and an effective vertical and horizontal integration between levels",high,2,test,"[{'input': 'Multi-level governance measures that support local governments can foster robust adaptation approaches and address risks and vulnerabilities across scales', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'The importance of supportive governance arrangements is re- iterated widely across regional and sectoral chapters in this report, in multiple different contexts', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'In many parts of CSA the level of success of adaptation measures depends largely on the governance of projects and stakeholder-based processes and is closely related to their effectiveness, efficiency, social equity and sociopolitical legitimacy', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
4948,AR6_WGII,1305,10,"Hot days, hot nights and heatwaves have become more frequent; heatwaves have also become longer. Drying is projected particularly for west and southwestern Africa",high,2,test,"[{'input': 'Since 1970, mean temperature over East Africa has shown an increasing trend but showed a decreasing trend in the previous 40 years (medium confidence).The Horn of Africa has experienced significantly decreased rainfall during the long rains season from March to May (high confidence) and drying trends in this and other parts of Africa are attributable to oceanic influences', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'In summary, most regions of West Africa experienced a wet period in the mid-20th century followed by a very dry period in the 1970s and 1980s that is attributed to aerosol cooling of the NH', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The consequence of increased temperature and evapotranspiration, and decreased precipitation amount, in interaction with climate variability and human activities, have contributed to desertification in dryland areas in sub-Saharan Africa (medium confidence) as reported in SRCCL (Mirzabaev et al., 2019).Atlas.4.2 Assessment and Synthesis of Observations, Trends and Attribution Figure Atlas.11 shows observed trends in annual mean surface temperature and indicates it has been rising rapidly over Africa from 1961 to 2015 and with significant increases in all regions of 0.1°C–0.2°C per decade and higher over some northern, eastern and south-western regions', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,True
4956,AR6_WGII,1331,20,"Most African countries are expected to experience high temperatures unprecedented in their recent history earlier in this century than generally wealthier, higher latitude countries",high,2,test,"[{'input': 'Atlas.4.1.2 Findings From Previous IPCC Assessments The most recent IPCC reports, AR5 and SR1.5 (Christensen et al., 2013; Hoegh-Guldberg et al., 2018), state that over most parts of Africa, minimum temperatures have warmed more rapidly than maximum temperatures during the last 50 to 100 years', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Since 1970, mean temperature over East Africa has shown an increasing trend but showed a decreasing trend in the previous 40 years (medium confidence).The Horn of Africa has experienced significantly decreased rainfall during the long rains season from March to May (high confidence) and drying trends in this and other parts of Africa are attributable to oceanic influences', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The consequence of increased temperature and evapotranspiration, and decreased precipitation amount, in interaction with climate variability and human activities, have contributed to desertification in dryland areas in sub-Saharan Africa (medium confidence) as reported in SRCCL (Mirzabaev et al., 2019).Atlas.4.2 Assessment and Synthesis of Observations, Trends and Attribution Figure Atlas.11 shows observed trends in annual mean surface temperature and indicates it has been rising rapidly over Africa from 1961 to 2015 and with significant increases in all regions of 0.1°C–0.2°C per decade and higher over some northern, eastern and south-western regions', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,True
4965,AR6_WGII,1339,19,"Mean annual rainfall in the summer rainfall region of South Afria is projected to decrease by 10–20%, accompanied by an increase in the number of consecutive dry days during the rainy season under RCP8.5. The western parts of the region are projected to become drier, with increasing drought frequency, intensity and duration likely under RCP8.5",high,2,test,"[{'input': 'Projected changes in rainfall over South East Asia vary, depending on model, sub-region and season (high confidence), with consistent projections of increases in annual mean rainfall from CMIP5 and CMIP6 over most land areas (medium confidence) and decreases in summer rainfall from CORDEX projections over much of Indonesia', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'The CORDEX South Asia multi-model ensemble projections indicate an increase in the frequency and severity of droughts over central and northern India during the 21st century, under the RCP4.5 and RCP8.5 scenarios', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Over Western Africa, rainfall is projected to decrease in the western Sahel sub-region (medium confidence) and increase in the central Sahel sub-region (low confidence) and along the Guinea coast sub-region', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",high,True
4970,AR6_WGII,1344,27,"Mangroves, seagrasses and coral reefs support nursery habitats for fish, sequester carbon, trap sediment and provide shoreline protection (Ghermandi et al., 2019). Climate change is compromising these ecosystem services",medium,1,test,"[{'input': 'Warming is allowing some, but not all (Rogers and Krauss, 2018; Saintilan et al., 2018), mangrove Table 3.7 | Summary of previous IPCC assessments of mangroves, salt marshes and seagrass beds Observations Projections AR5 (Wong et al., 2014) Seagrasses occurring close to their upper thermal limits are already stressed by climate change', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Many aspects and assets of ocean and coastal ecosystems (e.g., mangroves, coral reefs, saltmarshes) were identified as being strongly impacted by climate change, both for observed and future periods', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Regulation of physical hazards (Section 3.5.5.4)‘Coastal ecosystems are already impacted by the combination of sea level rise, other climate-related ocean changes, and adverse effects from human activities on ocean and land (high confidence)... Coastal and near-shore ecosystems including saltmarshes, mangroves, and vegetated dunes in sandy beaches,...provide important services including coastal protection...(high confidence)’ (SROCC Chapter 4 Executive Summary; Oppenheimer et al., 2019).‘The decline in warm water coral reefs is projected to greatly compromise the services they provide to society, such as...coastal protection', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,False
5038,AR6_WGII,1471,15,"Adaptation actions tend to be in the initial stages and more reactive (57% of urban adaptations focus on preparatory interventions, such as capacity building, and 43% of cities report implemented adaptation interventions)",medium,1,test,"[{'input': 'The degree of implementation of urban adaptation is uneven with large cities receiving more funding and priority, and smaller cities and towns, and peri-urban spaces, seeing relatively lower adaptation action', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Barriers to adaptation include challenges related to the local physical and environmental setting, effects of colonialism and racism, socioeconomic attributes of the population, institutional frameworks and competing interests of city stakeholders', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Urban adaptation is limited by financing constraints, weak intersectoral and multi-level governance and deficits in the housing and infrastructure sectors, the overcoming of which represents an opportunity for transformative adaptation', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,True
5048,AR6_WGII,1475,1,Large increases in temperature extremes are observed in West and Central Asia,high,2,test,"[{'input': 'Rising temperatures increase the likelihood of the threat of heatwaves across Asia, droughts in arid and semiarid areas of West, Central and South Asia, delays and weakening of the monsoon circulation in South Asia, floods in monsoon regions in South, Southeast and East Asia, and glacier melting in the Hindu Kush Himalaya region', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Atlas.5.4.5 Summary It is virtually certain that annual mean temperature has been increasing in South East Asia in the past decades while changes in annual mean precipitation are less spatially coherent though with some increasing trends over parts of Malaysia, Vietnam and the southern Philippines', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Further warming over South West Asia is projected in the 21st century to be greater than the global average, with rates varying from 0.25°C to 0.8°C per decade depending on the season and scenario, and the maximum rates found in the northern part of the region in summer', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,True
5092,AR6_WGII,1499,6,Increase in extreme precipitation events is likely to cause more flash-flood events in the future,medium,1,test,"[{'input': 'An increase in near-surface atmospheric water holding capacity of about 7% per 1°C of warming explains a similar magnitude of intensification of heavy precipitation events (from sub-daily up to seasonal time scales) that increases the severity of flood hazards when these extremes occur', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Although there is growing evidence on the effects of anthropogenic climate change on each event, given the relatively poor regional coverage and high model uncertainty, there is low confidence in the attribution of human- induced climate change to flood change on the global scale.In snow-dominated regions, 1~10 d earlier spring floods per decade due to warmer temperature are reported for the last decades', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Both AR5 (Jiménez Cisneros et al., 2014) and SROCC (Hock et al., 2019b) concluded that spring snowmelt floods would be earlier (high confidence), and hazards from floods involving meltwater will gradually diminish, particularly at low elevation', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}]",high,False
5093,AR6_WGII,1511,18,"By 2050, it is likely that 69% of fundamental human infrastructure in the Pan Arctic will be at risk (RCP 4.5 scenario)",medium,1,test,"[{'input': 'Human health is generally under- represented in adaptation initiatives, along with adaptations being developed within larger Arctic settlements (Ford et al., 2014; Canosa et al., 2020), and in many sectors decisions continue to be made without explicit inclusion of climate change impacts and risk in planning and design', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'CCP6 2321Polar Regions Cross-Chapter Paper 6 Executive Summary Observed Impacts and Future Risks Climate change impacts and cascading impacts in polar regions, particularly the Arctic, are already occurring at a magnitude and pace unprecedented in recent history', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'The Arctic Ocean is characterised by the highest rates of acidification and warming, strong nutrient depletion, and it will likely become practically sea ice free in the September mean for the first time before the year 2050 in all SSP scenarios', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",low,False
5099,AR6_WGII,1518,8,Rising ambient temperature accelerates pollutant formation reactions and may modify air-pollution-related health effects,medium,1,test,"[{'input': 'The impacts of future climate change on air quality and consequent risks on human health have been studied at urban (Knowlton et al., 2004; Physick, Cope and Lee, 2014) and national scales (Fann et al., 2015; Orru et al., 2013; Doherty, Heal and O’Connor, 2017); globally, these studies have found a likely net increased risk of climate change on air pollution-related health', 'label': 'low', 'score': 0, 'report': 'AR6_WGII'}, {'input': 'Observed Impacts of Climate Change on Health, Well-Being, Migration and Conflict 7.2.1 Observed Impacts on Health and Well-Being Eleven categories of diseases and health outcomes have been identified in this assessment as being climate-sensitive through direct pathways (e.g., heat and floods) and indirect pathways mediated through natural and human systems and economic and social disruptions (e.g., disease vectors, allergens, air and water pollution, and food system disruption)', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Under the high emissions scenario, climate change was projected to result in approximately 85 deaths equivalents per 100,000 population.Temperature increases are projected to exceed critical risk thresholds for six key climate-sensitive health outcomes, highlighting the criticality of building adaptive capacity in health systems and in other sectors that influence health and well-being', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,False
5120,AR6_WGII,1595,2,Three marine heatwaves on the Great Barrier Reef (GBR) during 2016–2020 caused significant bleaching and loss,very high,3,test,"[{'input': 'In 2017, the central third of the reef was the most severely affected and the back-to-back regional-scale bleaching events has led to an unprecedented shift in the composition of GBR coral assemblages, transforming the northern and middle sections of the reef system (Hughes et al., 2018c) to a highly degraded state', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'NES’s coral reefs have shown some resilience to bleaching, but vulnerability is intensified by the synergy between chronic heat stress caused by increased SST (Teixeira et al., 2019) and other well-documented stressors, such as coastal runoff, urban development, marine tourism, overexploitation of reef organisms and oil extraction', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Modelling of both temperature and ocean acidification effects under future climate scenarios (RCP4.5 and RCP8.5) suggest that some small islands will experience severe coral bleaching on an annual basis before 2040', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}]",high,False
